Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Motilal Oswal Nasdaq 100 FOF-Reg(G),Swapnil P Mayekar,FOF-OVR,Unrated,5468.7,0.58,Open Ended,2018-11-29,Nasdaq-100,43.65,45.03,27.7,20.18,28.34,30.19,53.44,51.84,19.72,27.18,,18.0,1.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,37.35,2.21,3.88,1.47,18.83,FoFs : Overseas,1% on or before 15D Nil after 15D,7.0
Motilal Oswal NASDAQ Q 50 ETF,Sunil Sawant,EQ-ETF,Unrated,46.8,0.47,Open Ended,2021-12-23,NASDAQ Q-50-TRI,72.49,76.28,55.27,-2.84,9.86,18.33,25.12,18.78,3.68,,,18.0,54.0,156243.5,55.18,14.37,15.24,,,,,17.14,1.18,2.03,1.06,17.2,Equity : ETFs,,4.0
Motilal Oswal Nifty 200 Momentum 30 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,118.4,0.3,Open Ended,2022-02-10,Nifty200 Momentum 30 - TRI,67.92,77.23,55.35,-3.92,-12.75,-7.4,20.76,31.67,,,,18.0,30.0,199208.0,87.08,12.91,15.24,Automobile and Ancillaries,,,,12.02,0.81,1.18,1.24,22.09,Equity : ETFs,,3.0
Motilal Oswal Nifty 200 Momentum 30 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,907.0,1.0,Open Ended,2022-02-10,Nifty200 Momentum 30 - TRI,16.44,18.71,13.48,-3.92,-12.84,-7.72,19.98,30.79,,,,18.0,30.0,199223.0,87.0,12.9,15.24,Automobile and Ancillaries,,,,10.94,0.78,1.15,1.24,22.05,Equity : Index Funds,1% on or before 15D Nil after 15D,3.0
Motilal Oswal Nifty 5 Year Benchmark G-Sec ETF,Rakesh Shetty,DT-ETF,Unrated,94.4,0.24,Open Ended,2020-12-10,Nifty 5 yr Benchmark G-Sec Index TRI,58.39,58.39,53.96,0.49,1.2,4.48,8.14,7.84,5.78,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.3,3.64,6.71,2.09,3.08,5.64,0.65,1.3,Debt : ETFs,,5.0
Motilal Oswal Nifty 50 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,48.3,0.06,Open Ended,2010-07-28,NIFTY 50 - TRI,248.25,268.69,215.77,-1.61,-7.83,-1.25,10.37,16.47,12.94,15.6,11.86,9.0,50.0,555829.0,98.71,1.24,15.24,Financials,,,,2.29,0.5,0.76,0.99,13.91,Equity : ETFs,Nil,15.0
Motilal Oswal Nifty 50 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,586.0,0.55,Open Ended,2019-12-23,NIFTY 50 - TRI,20.3,22.0,17.73,-1.66,-7.96,-1.51,9.8,15.86,12.31,15.17,,8.0,50.0,555878.0,98.73,1.24,15.24,Financials,,,,1.39,0.46,0.7,1.0,13.96,Equity : Index Funds,Nil,6.0
Motilal Oswal Nifty 500 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,101.4,0.21,Open Ended,2023-10-06,NIFTY 500 - TRI,23.02,24.68,19.24,-0.91,-7.29,-0.79,16.25,15.99,,,,18.0,501.0,220871.0,70.58,18.64,10.73,Financials,,,,7.84,0.84,1.21,1.0,14.94,Equity : ETFs,,2.0
Motilal Oswal Nifty 500 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,2060.2,0.88,Open Ended,2019-09-06,NIFTY 500 - TRI,25.35,27.24,21.38,-0.98,-7.45,-1.17,15.16,21.01,14.88,17.8,,19.0,501.0,220867.0,70.54,18.63,10.72,Financials,,,,6.53,0.77,1.12,1.0,14.98,Equity : Index Funds,1% on or before 15D Nil after 15D,6.0
Motilal Oswal Nifty 500 Momentum 50 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,59.5,0.4,Open Ended,2024-09-24,Nifty500 Momentum 50 - TRI,58.21,64.37,55.94,-3.17,-10.63,3.25,11.97,15.99,,,,18.0,50.0,127222.0,64.01,31.55,4.37,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Motilal Oswal Nifty 500 Momentum 50 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,464.0,1.01,Open Ended,2024-09-24,Nifty500 Momentum 50 - TRI,9.08,10.03,8.71,-3.04,-10.61,3.25,11.97,15.99,,,,18.0,50.0,127251.0,63.94,31.49,4.37,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty Bank Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,617.9,1.0,Open Ended,2019-09-06,NIFTY BANK - TRI,18.33,19.35,15.94,-1.98,-3.71,-3.03,5.77,9.14,13.08,9.14,,32.0,12.0,538948.0,86.46,13.58,15.24,Financials,,,,-2.49,0.17,0.25,1.08,17.35,Equity : Index Funds,1% on or before 15D Nil after 15D,6.0
Motilal Oswal Nifty Capital Market Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,709.5,1.08,Open Ended,2024-12-16,Nifty Capital Markets Index - TRI,9.72,10.0,9.51,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty India Defence ETF,Swapnil P Mayekar,EQ-ETF,Unrated,94.7,0.4,Open Ended,2024-08-21,Nifty India Defence - TRI,72.03,77.64,65.45,-2.48,-1.22,3.25,11.97,15.99,,,,18.0,16.0,77331.0,41.58,35.58,22.85,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Motilal Oswal Nifty India Defence Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,2346.7,1.08,Open Ended,2024-07-03,Nifty India Defence - TRI,8.57,10.86,7.79,-2.58,-1.58,3.25,11.97,15.99,,,,18.0,16.0,77333.0,41.54,35.55,22.83,Capital Goods,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty Microcap 250 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,1790.1,1.08,Open Ended,2023-07-05,Nifty Microcap 250 - TRI,18.69,19.37,13.04,0.73,-2.33,6.9,32.52,15.99,,,,18.0,251.0,7819.0,55.18,14.37,99.89,Healthcare,,,,23.49,1.26,1.84,0.97,22.56,Equity : Index Funds,1% on or before 15D Nil after 15D,2.0
Motilal Oswal Nifty Midcap 100 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,543.5,0.22,Open Ended,2011-02-03,Nifty Midcap 100 - TRI,62.2,65.1,48.97,1.87,-4.76,2.32,24.27,35.88,24.66,27.87,16.68,60.0,101.0,64420.0,8.02,89.09,2.87,Financials,,,,15.6,1.09,1.56,1.03,18.76,Equity : ETFs,Nil,14.0
Motilal Oswal Nifty Midcap 150 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,1986.5,1.0,Open Ended,2019-09-06,Nifty Midcap 150 - TRI,37.21,39.06,29.47,1.53,-5.21,0.84,23.24,33.42,22.56,27.06,,35.0,151.0,58753.0,6.44,86.68,6.77,Financials,,,,14.46,1.1,1.59,0.95,17.51,Equity : Index Funds,1% on or before 15D Nil after 15D,6.0
Motilal Oswal Nifty MidSmall Financial Services Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,10.6,1.0,Open Ended,2024-11-19,Nifty MidSmall Financial Services - TRI,10.68,11.01,10.0,1.58,-2.11,3.25,11.97,15.99,,,,18.0,30.0,44616.0,55.18,71.52,27.69,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty MidSmall Healthcare Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,13.8,1.0,Open Ended,2024-11-19,Nifty MidSmall Healthcare - TRI,10.85,10.85,10.0,5.45,-2.11,3.25,11.97,15.99,,,,18.0,30.0,47253.0,55.18,64.92,34.65,Healthcare,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty MidSmall India Consumption Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,8.8,1.0,Open Ended,2024-11-19,Nifty MidSmall India Consumption - TRI,10.91,11.0,10.0,4.95,-2.11,3.25,11.97,15.99,,,,18.0,30.0,61887.0,55.18,88.24,11.04,Healthcare,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty MidSmall IT and Telecom Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,12.0,1.0,Open Ended,2024-11-19,Nifty MidSmall IT & Telecom - TRI,10.83,11.13,10.0,2.32,-2.11,3.25,11.97,15.99,,,,18.0,20.0,49317.0,10.05,67.94,20.73,Technology,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,1% on or before 15D Nil after 15D,1.0
Motilal Oswal Nifty Next 50 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,310.2,1.03,Open Ended,2019-12-23,NIFTY NEXT 50 - TRI,23.77,26.76,18.39,-3.39,-11.64,-5.52,27.35,27.46,17.53,18.79,,56.0,50.0,143052.0,88.19,11.75,15.24,Financials,,,,16.96,1.13,1.63,1.14,20.16,Equity : Index Funds,1% on or before 15D Nil after 15D,6.0
Motilal Oswal Nifty Realty ETF,Swapnil P Mayekar,EQ-ETF,Unrated,77.5,0.4,Open Ended,2024-03-15,NIFTY REALTY - TRI,105.13,114.98,83.7,2.0,-5.18,-5.44,11.97,15.99,,,,18.0,10.0,81252.0,37.41,48.86,13.8,Construction,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Motilal Oswal Nifty Smallcap 250 ETF,Swapnil P Mayekar,EQ-ETF,Unrated,90.8,0.3,Open Ended,2024-03-15,Nifty Smallcap 250 - TRI,18.02,18.65,13.9,1.06,-3.35,3.01,11.97,15.99,,,,18.0,250.0,19549.0,55.18,8.0,91.99,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Motilal Oswal Nifty Smallcap 250 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,845.0,1.04,Open Ended,2019-09-06,Nifty Smallcap 250 - TRI,38.7,40.14,29.12,0.98,-3.56,2.77,25.92,36.42,21.56,28.61,,59.0,250.0,19550.0,55.18,8.0,91.96,Financials,,,,17.16,1.1,1.56,0.96,20.03,Equity : Index Funds,1% on or before 15D Nil after 15D,6.0
Motilal Oswal Quant Fund-Reg(G),Ajay Khandelwal,EQ-THEM,Unrated,154.1,0.94,Open Ended,2024-06-06,NIFTY 200 - TRI,10.55,11.1,10.0,-0.32,-5.37,1.8,11.97,15.99,,,,117.0,93.0,14874.0,8.57,13.33,58.97,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 15D Nil after 15D,1.0
Motilal Oswal S&P 500 Index Fund-Reg(G),Sunil Sawant,EQ-INTL,Unrated,3781.0,1.13,Open Ended,2020-04-28,S&P 500 - TRI,22.54,23.08,17.53,-1.21,5.19,10.01,26.45,25.55,12.28,,,4.0,503.0,156243.5,55.18,14.37,15.24,,,,,20.01,1.65,2.68,0.14,12.58,Equity : International,1% on or before 7D Nil after 7D,5.0
Motilal Oswal Small Cap Fund-Reg(G),Ajay Khandelwal,EQ-SML,Unrated,3166.3,1.89,Open Ended,2023-12-26,Nifty Smallcap 250 - TRI,14.96,15.15,9.63,4.01,5.99,20.34,46.97,15.99,,,,53.0,43.0,16235.0,5.89,11.41,75.83,Capital Goods,,,,32.91,2.19,3.27,0.8,16.88,Equity : Small Cap,1% on or before 1Y Nil after 1Y,2.0
Motilal Oswal Ultra Short Term Fund-Reg(G),Rakesh Shetty,DT-USD,Unrated,439.3,1.06,Open Ended,2013-09-06,CRISIL Ultra Short Term Debt Index,16.02,16.02,15.12,0.48,1.35,2.89,5.98,5.89,5.13,4.41,3.78,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.32,0.29,6.6,1.89,7.75,15.82,0.02,0.25,Debt : Ultra Short Duration,Nil,12.0
Navi Aggressive Hybrid Fund-Reg(G),Aditya Mulki,HY-EQ,Unrated,135.3,2.25,Open Ended,2018-04-30,CRISIL Hybrid 35+65 - Aggressive Index,20.2,20.98,17.48,-0.09,-4.31,2.21,13.61,17.26,12.29,12.61,,69.0,51.0,52804.0,27.93,6.27,33.23,Financials,0.35,0.31,7.28,5.54,0.95,1.42,1.37,10.04,Hybrid : Equity Oriented,Nil,7.0
Navi BSE Sensex Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,14.0,0.9,Open Ended,2023-09-04,BSE SENSEX - TRI,12.16,13.05,10.67,-1.65,-6.81,-1.18,8.89,15.99,,,,31.0,30.0,684497.0,99.31,0.72,15.24,Financials,,,,0.53,0.4,0.61,0.99,13.88,Equity : Index Funds,Nil,2.0
Navi Conservative Hybrid Fund-Reg(G),Aditya Mulki,HY-DT(CO),Unrated,26.5,2.0,Open Ended,2010-07-29,CRISIL Hybrid 85+15 - Conservative Index,26.13,26.46,24.43,-0.76,0.8,3.79,9.39,7.27,5.41,5.81,,14.0,11.0,598490.0,19.66,0.28,15.24,Energy,0.39,0.35,6.96,4.13,2.07,3.55,0.29,2.44,Hybrid : Debt Oriented (Conservative),Nil,15.0
Navi ELSS Tax Saver Fund-Reg(G),Aditya Mulki,EQ-ELSS,Unrated,62.4,2.25,Open Ended,2015-12-30,NIFTY 500 - TRI,28.96,31.13,25.11,-1.79,-7.31,-2.99,12.1,18.43,11.44,14.02,,48.0,42.0,158693.0,52.74,18.75,16.33,Financials,,,,4.41,0.66,1.02,0.82,12.9,Equity : Tax Saving (ELSS),Nil,10.0
Navi ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Aditya Mulki,EQ-ELSS,Unrated,73.3,0.99,Open Ended,2023-03-20,NIFTY 50 - TRI,14.19,15.4,12.46,-1.7,-8.06,-1.76,9.18,15.99,,,,7.0,50.0,555822.0,98.86,1.25,15.24,Financials,,,,0.71,0.41,0.63,0.99,13.95,Equity : Tax Saving (ELSS),Nil,2.0
Navi Flexi Cap Fund-Reg(G),Aditya Mulki,EQ-FLEX,2,266.1,2.25,Open Ended,2018-07-09,NIFTY 500 - TRI,22.91,24.5,19.81,-1.29,-6.96,-0.63,11.69,18.35,12.2,15.2,,77.0,62.0,107398.0,46.35,17.77,23.29,Financials,,,,3.96,0.62,0.94,0.86,13.42,Equity : Flexi Cap,Nil,7.0
Navi Large & Midcap Fund-Reg(G),Aditya Mulki,EQ-L&M,2,318.8,2.25,Open Ended,2015-12-07,NIFTY LargeMidcap 250 - TRI,36.15,37.88,29.06,0.36,-4.83,1.24,16.75,20.61,13.6,17.75,,82.0,71.0,96577.0,37.72,32.87,21.87,Financials,,,,8.47,0.93,1.45,0.84,13.67,Equity : Large & Mid Cap,Nil,10.0
Navi Liquid Fund-Reg(G),Tanmay Sethi,DT-LIQ,Unrated,64.4,0.2,Open Ended,2010-02-19,CRISIL Liquid Debt Index,27.52,27.52,25.73,0.58,1.7,3.45,6.95,6.86,6.27,5.16,6.23,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.11,0.11,7.45,1.44,9.55,11.86,0.88,0.15,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,15.0
Navi NASDAQ 100 FoF-Reg(G),Aditya Mulki,FOF-OVR,Unrated,1018.7,0.29,Open Ended,2022-03-23,Nasdaq-100,15.95,16.63,12.0,1.7,7.06,9.67,28.64,41.06,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,22.86,1.32,2.1,0.5,18.35,FoFs : Overseas,Nil,3.0
Navi Nifty 50 ETF,Aditya Mulki,EQ-ETF,Unrated,7.2,0.05,Open Ended,2023-09-18,NIFTY 50 - TRI,244.19,264.56,212.85,-1.29,-3.82,6.95,21.3,15.99,,,,4.0,50.0,547761.0,96.97,1.28,15.24,Financials,,,,2.14,1.26,1.96,0.99,13.94,Equity : ETFs,,2.0
Navi Nifty 50 Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,2572.8,0.26,Open Ended,2021-07-15,NIFTY 50 - TRI,15.56,16.86,13.57,-1.64,-7.9,-1.42,9.99,16.07,12.5,,,21.0,50.0,555827.0,98.83,1.25,15.24,Financials,,,,1.56,0.47,0.72,0.99,13.96,Equity : Index Funds,Nil,4.0
Navi Nifty 500 Multicap 50:25:25 Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,18.2,0.98,Open Ended,2024-08-01,Nifty500 Multicap 50:25:25 - TRI,9.85,10.46,9.37,-0.35,-6.48,3.25,11.97,15.99,,,,24.0,501.0,120980.0,49.69,24.91,24.86,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,Nil,1.0
Navi Nifty Bank Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,532.9,0.79,Open Ended,2022-02-04,NIFTY BANK - TRI,13.21,13.95,11.49,-2.0,-3.75,-3.08,5.79,9.06,,,,52.0,12.0,538946.0,86.6,13.6,15.24,Financials,,,,-2.47,0.17,0.26,1.08,17.39,Equity : Index Funds,Nil,3.0
Navi Nifty India Manufacturing Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,51.7,0.99,Open Ended,2022-08-26,Nifty India Manufacturing - TRI,16.71,18.66,12.97,-1.45,-11.3,-5.88,24.91,29.48,,,,57.0,78.0,151495.0,69.51,25.67,3.71,Automobile and Ancillaries,,,,14.99,1.2,1.83,0.96,16.49,Equity : Index Funds,Nil,3.0
Navi Nifty Midcap 150 Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,218.0,0.99,Open Ended,2022-03-11,Nifty Midcap 150 - TRI,19.79,20.77,15.72,1.51,-5.26,0.76,22.84,32.81,,,,44.0,151.0,58754.0,6.44,86.73,6.77,Financials,,,,14.14,1.08,1.56,0.95,17.48,Equity : Index Funds,Nil,3.0
Navi Nifty Next 50 Index Fund-Reg(G),Aditya Mulki,EQ-INDX,Unrated,731.7,0.57,Open Ended,2022-01-19,NIFTY NEXT 50 - TRI,16.1,18.07,12.43,-3.21,-11.43,-5.3,27.51,27.5,,,,52.0,50.0,143043.0,88.28,11.77,15.24,Financials,,,,17.09,1.13,1.64,1.14,20.19,Equity : Index Funds,Nil,3.0
Navi Overnight Fund-Reg(G),Tanmay Sethi,DT-ON,Unrated,5.9,0.25,Open Ended,2023-07-17,CRISIL Liquid Overnight Index,10.82,10.82,10.3,0.44,1.34,2.75,5.95,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,0.68,4.71,6.47,0.88,0.14,Debt : Overnight,Nil,2.0
Navi US Total Stock Market FoF-Reg(G),Aditya Mulki,FOF-OVR,Unrated,1005.1,0.06,Open Ended,2022-02-24,CRSP US Total Market Index,15.64,16.13,12.11,-1.93,4.7,11.59,26.69,26.3,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,20.71,1.65,2.69,0.4,13.23,FoFs : Overseas,Nil,3.0
Nippon India Arbitrage Fund(G),Vikash Agarwal,HY-ARB,3,15418.5,1.08,Open Ended,2010-10-14,Nifty 50 Arbitrage,25.71,25.71,23.95,0.65,1.8,3.41,7.42,7.25,6.21,5.34,5.97,1308.0,161.0,217059.0,50.29,16.37,4.3,Financials,,,,3.48,3.37,7.36,-0.07,0.97,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M,15.0
Nippon India Asset Allocator FoF-Reg(G),Sushil Budhia,FOF-DOM,Unrated,320.5,1.24,Open Ended,2021-02-08,CRISIL Hybrid 50+50 - Moderate Index,20.05,20.44,16.68,0.04,-2.4,2.86,17.86,23.5,17.81,,,48.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,8.54,1.37,1.97,1.64,9.73,FoFs : Domestic,Nil upto 10% of units and 1% for remaning units on or before 12M Nil after 12M,4.0
